,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,area,equivalent_diameter,orientation,major_axis_length,minor_axis_length,perimeter,min_intensity,mean_intensity,max_intensity,solidity,eccentricity,centroid_local-0,centroid_local-1,feret_diameter_max,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,label,major_axis_length/minor_axis_length,perimeter/major_axis_length,perimeter/minor_axis_length,Labels,Filename,Region
0,0,0,0,0,359528.3054999999,676.5838130004474,0.7112959450562228,846.9588150093798,582.8941059216626,2898.222124196,112.0,178.3062271062271,215.0,0.8880936890045543,0.7255019313668021,36.697924297924295,31.75286935286936,978.2567198849184,4095.0,130028.0,5588286.0,276616730.0,150278.0,5316059.0,247003741.0,13028297585.0,7136942.0,268618039.0,12963451589.0,703500314113.0,375743894.0,14751852311.0,727917332905.0,40113891214421.0,4095.0,-3.9804604057280806e-11,1459523.9037851037,6484471.066974619,5.5194959713844576e-11,544301.299389499,7358988.320626225,529664063.01641,1622051.332356533,2050196.334478538,594733643.3147665,5023297373.140238,-5218897.239010951,396098530.17988086,2590212872.225589,351148582153.1949,0.1837659157966331,0.0043082145228675,0.0006471263414788,6.723364420922081e-05,9.552095217863118e-09,1.4848622805854905e-06,-1.0268029021517056e-08,1,1.453023467564803,3.4219162405953623,4.972124601626188,Crystal,"../Images/Additional/L2 2.5, 5, 10 nM/L2 10nM/L2_10nM_05.bmp",1
1,1,1,1,1,556193.3614999999,841.5268161983786,1.5386321312440665,988.6106713894349,750.1326460348527,3602.80826464441,110.0,184.40899763220204,217.0,0.9105936466867904,0.6513533128623477,35.86487766377269,55.218626677190215,1056.2779015013048,6335.0,349810.0,23721652.0,1782484966.0,227204.0,12605997.0,855817385.0,64238415207.0,10688180.0,609430093.0,41762435753.0,3145158319711.0,564712334.0,33019153959.0,2279074053971.0,171846448004661.0,6335.0,3.1391778065881226e-11,4405624.202052094,-13937116.14043958,1.4028955774847418e-10,60104.14443567549,-1594498.58927963,24157979.75606532,2539536.335280189,14932216.146846691,1495409943.4625475,18257409039.146385,-778254.1234412213,-2045888.8550865368,-3596168739.798178,-153337208989.98727,0.1730569520461993,0.0021710814386087,0.0003396702431674,6.488385816563812e-07,8.683625951576532e-12,-2.2530857415082443e-08,-4.168626389873363e-12,2,1.3179144736803017,3.6443145607369103,4.802894906239044,Crystal,"../Images/Additional/L2 2.5, 5, 10 nM/L2 10nM/L2_10nM_05.bmp",2
2,2,2,2,2,2071743.4492999995,1624.13844428201,0.619944836649564,2701.3268360093007,1146.2503627739522,11981.349358638514,102.0,178.76005424418358,219.0,0.7201013152674784,0.905508254469552,103.4247997626817,112.61999406704244,2762.3071483996846,23597.0,2657494.0,355283822.0,52247310400.0,2440515.0,322377985.0,47258145821.0,7370866918459.0,341061457.0,48596799419.0,7432520366719.0,1190405306280497.0,54385457499.0,8096839361209.0,1271025966708269.0,2.069884924031178e+17,23597.0,-5.5138116294983774e-12,55996863.48679915,-377484393.068772,-1.9927881567127767e-10,47527200.17947196,-192038332.7407875,223681422215.5488,88651681.80717896,355477831.4775988,253092029229.93552,-1046935900806.5956,773679722.9416318,336502722269.8401,2764080448100.948,1523620409970970.8,0.2597768733145066,0.0325811397582979,0.0005340011353277,4.6307133308675184e-05,4.338577720078216e-09,2.110607684758187e-06,5.848279860181313e-09,3,2.3566638875228163,4.435357172973076,10.452646077810936,Incomplete,"../Images/Additional/L2 2.5, 5, 10 nM/L2 10nM/L2_10nM_05.bmp",3
3,3,3,3,3,135558.41359999997,415.4495550811012,-1.4446191162251156,579.939047936975,368.16300469331054,2206.782714735718,124.0,177.45012953367876,210.0,0.7598425196850394,0.7726514199410386,14.52461139896373,29.757124352331605,628.5587084751908,1544.0,45945.0,1733365.0,74782473.0,22426.0,639782.0,22489678.0,893444822.0,478204.0,13914556.0,483113896.0,18575341312.0,12006070.0,365030180.0,12920802904.0,499109867288.0,1544.0,-5.7980287238024175e-12,366173.9216321244,1409949.3058446215,2.8705926524708048e-12,-27551.270725388604,-1047081.8594844824,-26078271.77953908,152475.0647668394,484923.10788544687,31609987.682672903,270206522.59051555,631060.6030296121,4071109.5536185657,-9180265.161449425,-603930714.1439017,0.2175599455685739,0.0085698044566073,0.0016219546003333,0.0004289125245031,2.126333092628865e-07,3.906510582044916e-05,2.8769409575947164e-07,4,1.5752235845100175,3.805197671351732,5.994037115635847,Crystal,"../Images/Additional/L2 2.5, 5, 10 nM/L2 10nM/L2_10nM_05.bmp",4
4,4,4,4,4,108429.17149999995,371.55929399850953,-1.3928197202752493,610.6617037856828,242.39814427122283,1796.7191323222053,114.0,152.11012145748987,171.0,0.8612273361227336,0.9178430816207004,10.931174089068826,34.56842105263158,674.705066306753,1235.0,42692.0,1794984.0,84962492.0,13500.0,418550.0,15866044.0,682479902.0,207884.0,6067434.0,213889284.0,8545467750.0,3673878.0,103455038.0,3453470848.0,129781227230.0,1235.0,-2.529532139305957e-12,319188.9684210526,845011.9937950141,3.907985046680551e-13,-48123.6842105263,-428119.034306414,-29341787.3802954,60313.14979757082,-66690.9022799914,14042009.643643744,68481388.04362822,82874.72507334978,-4107115.0787033145,-32822870.51740972,-2076483932.914324,0.2488171372870386,0.0327902140076703,0.0010308146945818,0.0002523420652526,1.2157242864990105e-07,4.055074130204767e-05,-4.2232064533857687e-08,5,2.519250737754842,2.942249564994467,7.412264387271175,Crystal,"../Images/Additional/L2 2.5, 5, 10 nM/L2 10nM/L2_10nM_05.bmp",5
5,5,5,5,5,203952.19869999995,509.58807346770135,-1.5656390394790267,912.4781869666332,302.4151536625381,2209.940864766154,120.0,181.4575979337064,216.0,0.937449556093624,0.943482695867941,12.708996986655189,47.53422298751615,914.7155060454588,2323.0,110422.0,6625668.0,443992192.0,29523.0,1397032.0,80853164.0,5164540390.0,526477.0,25237394.0,1431841998.0,88571997644.0,10850673.0,528347908.0,29576216324.0,1784558456410.0,2323.0,-2.515321284590755e-12,1376844.0292724925,-1848210.3661878416,-6.188827228470473e-12,-6320.865260439092,-2751515.809050193,-42935512.337918855,151269.28196297892,372382.59929741087,69690277.48586057,303643822.3159416,314716.6961747518,1434582.0628472152,-285996690.45259416,-4059686832.2673936,0.2831764540737734,0.0515856579449929,0.0012155174439951,0.0001199772952318,-1.2232879414308156e-08,-1.2872422837383466e-05,4.415403486230852e-08,6,3.017303120943661,2.4219108975226007,7.307639309742407,Incomplete,"../Images/Additional/L2 2.5, 5, 10 nM/L2 10nM/L2_10nM_05.bmp",6
6,6,6,6,6,79017.20999999998,317.18738387054856,-1.5475104049951074,599.7104084660255,191.71528243350323,1790.231455305872,121.0,169.33666666666667,211.0,0.8356545961002786,0.9475256449634344,7.227777777777778,33.885555555555555,666.3249382245873,900.0,30497.0,1263719.0,58772471.0,6505.0,215610.0,8321020.0,355921626.0,70677.0,2299718.0,84969972.0,3437888594.0,901675.0,28919784.0,1038645970.0,40514410548.0,900.0,9.436007530894127e-12,230311.21222222227,342203.8652419754,-8.526512829121202e-14,-4815.538888888887,-486505.68445679016,-2828136.342211379,23660.30555555557,-25600.120061728423,5270115.985967799,-4980494.67050182,48814.4885802469,-324175.9671363167,-10938222.10274027,-111863703.40823498,0.3135450836762689,0.0652299266656256,0.0041501610211331,0.0004941853620044,2.6122844215245463e-08,-3.388135759468793e-05,-7.072472137081501e-07,7,3.128130427860053,2.985159887227956,9.337969475265057,Crystal,"../Images/Additional/L2 2.5, 5, 10 nM/L2 10nM/L2_10nM_05.bmp",7
7,7,7,7,7,359528.3054999999,676.5838130004474,-1.5312679349283418,1258.5091275812824,407.8975651406112,4003.4447214061033,117.0,168.817094017094,207.0,0.7563723679349834,0.9460188102085406,16.723076923076924,64.24713064713065,1340.0410425431005,4095.0,263092.0,21513534.0,2002854994.0,68481.0,4236544.0,326765158.0,28862288272.0,1636683.0,98393578.0,7264524096.0,614107021834.0,45588621.0,2695630120.0,193440715894.0,15843546871288.0,4095.0,4.405364961712621e-13,4610627.903785104,28232937.82093745,1.84101622835442e-11,-163163.75384615382,-12041719.948770529,-290201950.4971422,491469.96923076926,-1301408.5156832868,490575256.95235,122671251.2255815,1780465.0906508851,-31125541.851761147,-828363935.1915053,-44757667367.507095,0.3042572763184426,0.0607181352126905,0.0021446824958552,0.0007213112761562,8.746323805540686e-07,0.0001416016755463,-1.9974550102240737e-07,8,3.0853558224782414,3.1811010613012307,9.814828681377463,Crystal,"../Images/Additional/L2 2.5, 5, 10 nM/L2 10nM/L2_10nM_05.bmp",8
8,8,8,8,8,508519.6447999999,804.6535409939104,1.5352968126512003,1221.6033678073643,576.4305010294664,3637.348816008923,124.0,182.84426795580112,212.0,0.8795747911921032,0.8816714137271752,27.006906077348063,64.68197513812154,1161.3131278427882,5792.0,374638.0,30379342.0,2724478192.0,156424.0,10287466.0,853175814.0,77662721104.0,5600562.0,380222918.0,32168370278.0,2959281317564.0,226544620.0,15957048268.0,1375753266060.0,127745388518122.0,5792.0,2.4840574042173102e-11,6147016.198204419,-35719949.76826913,3.603162213039468e-11,169652.72099447536,10776831.751406044,-137563566.4688329,1376033.7237569063,8803915.753163075,1347061912.3551614,7316611519.594893,965941.0121028052,219174881.9802215,5488813975.288322,173093732287.64133,0.2242522645650425,0.0203278988024445,0.0007431368775834,0.0001322965922979,2.9876577168098484e-08,1.1816950142717678e-05,-2.87772181335722e-08,9,2.1192552538869163,2.977520291661884,6.310125521659352,Crystal,"../Images/Additional/L2 2.5, 5, 10 nM/L2 10nM/L2_10nM_05.bmp",9
9,9,9,9,9,148903.54239999998,435.4191986291245,1.4103569820520665,544.9400737846273,386.6965584074196,2212.7187376585134,116.0,168.1432783018868,199.0,0.8064669519733714,0.7045916518703429,24.025353773584907,28.66745283018868,623.0169298662757,1696.0,48620.0,1747798.0,71786132.0,40747.0,1196182.0,43183992.0,1775570644.0,1164041.0,34036938.0,1202216860.0,48336462516.0,37019605.0,1062097654.0,36276666696.0,1410370514788.0,1696.0,-4.447997525858227e-12,353986.44339622644,1385435.941126736,2.131628207280301e-13,28069.29952830186,-416823.9151722151,17527291.086119756,185079.9097877358,-681902.1625940059,23049195.2807346,-206222188.7337113,159887.5499753853,1382412.8175064009,-43579224.65303303,2193564837.7359104,0.187409037212963,0.0038290843484165,0.0009807258762309,3.997745090041787e-05,6.251099053790603e-09,1.2921747082058591e-06,-4.856349142772137e-09,10,1.4092188356392974,4.060480856713485,5.7221061050334345,Crystal,"../Images/Additional/L2 2.5, 5, 10 nM/L2 10nM/L2_10nM_05.bmp",10
